id,src,month,day,year,name_cn,name_native,name_romaji,alt_names,gender,blood,age,types,ptype,work,work_cn,work_year,work_fmt,works,summary,heat,fav,votes,collects,nsfw,image,thumb,alts,palette,tags,url_al,url_bgm,url_vndb,bgm_id
al45627,anilist,12,25,,利威尔,リヴァイ,Levi,Levi Heichou (リヴァイ兵長) / Captain Levi / Jinrui Saikyou no Heishi (人類最強の兵士) / Humanity's Strongest Soldier,男,A,,动画,动画,進撃の巨人,进击的巨人,2013,动画,"[{""t"":""進撃の巨人"",""cn"":""进击的巨人"",""ty"":""动画"",""y"":2013,""pop"":1053882},{""t"":""進撃の巨人 Season２"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":733402},{""t"":""進撃の巨人 Season３"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":686190},{""t"":""進撃の巨人 The Final Season"",""cn"":""进击的巨人 最终季"",""ty"":""动画"",""y"":2020,""pop"":642537},{""t"":""進撃の巨人 Season３ Part.2"",""cn"":"""",""ty"":""动画"",""y"":2019,""pop"":610781},{""t"":""進撃の巨人 The Final Season Part 2"",""cn"":""进击的巨人 最终季 Part.2"",""ty"":""动画"",""y"":2022,""pop"":440419}]","160 cm (5'3"") Squad Captain of the Special Operations Squad (known as Squad Levi) within the Survey Corps. He is known as humanity's strongest soldier. Levi is abrasive, blunt, and has a strong respect for structure and discipline.",43226,43226,0,772,,https://s4.anilist.co/file/anilistcdn/character/large/b45627-CR68RyZmddGG.png,https://s4.anilist.co/file/anilistcdn/character/medium/b45627-CR68RyZmddGG.png,https://lain.bgm.tv/r/400/pic/crt/l/e5/b3/19546_crt_UP2v0.jpg?r=1611927735,,,https://anilist.co/character/45627,https://bgm.tv/character/19546,,19546
al127691,anilist,12,7,1989,五条悟,五条悟,Satoru Gojou,Satoru Gojo,男,,28,动画|漫画,动画,呪術廻戦,咒术回战,2020,动画,"[{""t"":""呪術廻戦"",""cn"":""咒术回战"",""ty"":""动画"",""y"":2020,""pop"":971898},{""t"":""呪術廻戦 第2期"",""cn"":"""",""ty"":""动画"",""y"":2023,""pop"":491128},{""t"":""呪術廻戦 0"",""cn"":"""",""ty"":""动画"",""y"":2021,""pop"":436263},{""t"":""呪術廻戦 死滅回游 前編"",""cn"":""咒术回战 死灭回游 前篇"",""ty"":""动画"",""y"":2026,""pop"":258346},{""t"":""呪術廻戦"",""cn"":""咒术回战"",""ty"":""漫画"",""y"":2018,""pop"":252773},{""t"":""呪術廻戦 0 東京都立呪術高等専門学校"",""cn"":""咒术回战 0 东京都立咒术高等专门学校"",""ty"":""漫画"",""y"":2017,""pop"":71894}]",东京咒术高专一年级男班主任，28岁，身高超过190cm。个性轻浮，是个什么都会的人，所以就什么都不做，本人称之“培养新人”，大多时间为刺猬头(抓出来的)，并以黑布遮盖住眼睛作为眼罩用的造型示人，偶尔会将头发放下，原本并不喜欢甜食，但因需要动脑想很多事情，所以吃甜点来帮助脑部有效率地运转，久而久之变成了甜食控。,41833,41833,0,230,,https://s4.anilist.co/file/anilistcdn/character/large/b127691-9zqh1xpIubn7.png,https://s4.anilist.co/file/anilistcdn/character/medium/b127691-9zqh1xpIubn7.png,https://lain.bgm.tv/r/400/pic/crt/l/12/12/74243_crt_c5h9t.jpg?r=1646562964,,,https://anilist.co/character/127691,https://bgm.tv/character/74243,,74243
al27,anilist,7,7,,奇犽·揍敌客,キルア=ゾルディック,Killua Zoldyck,Kill / Kil / Evans,男,A,11-,动画|漫画,动画,HUNTER×HUNTER (2011),,2011,动画,"[{""t"":""HUNTER×HUNTER (2011)"",""cn"":"""",""ty"":""动画"",""y"":2011,""pop"":840476},{""t"":""HUNTER×HUNTER"",""cn"":""猎人"",""ty"":""动画"",""y"":1999,""pop"":134584},{""t"":""HUNTER×HUNTER"",""cn"":""猎人"",""ty"":""漫画"",""y"":1998,""pop"":109206},{""t"":""劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）"",""cn"":"""",""ty"":""动画"",""y"":2013,""pop"":64831},{""t"":""劇場版 HUNTER×HUNTER THE LAST MISSION"",""cn"":""猎人剧场版：最终任务"",""ty"":""动画"",""y"":2013,""pop"":52942},{""t"":""HUNTER×HUNTER: Greed Island"",""cn"":"""",""ty"":""动画"",""y"":2003,""pop"":34034}]",猎人。第288期猎人试验唯一合格者。变化系能力者。 念能力:“落雷（ナルカミ）”“雷掌（イズツシ）”“神速（カンムル）”“电光石火（でんこうせっか）” 小杰最要好的朋友。在发现自己真正想做的事之前，与小杰一起旅行。 出身在海拔三千七百二十二米的枯枯戮山杀手家庭，从3岁就接受面临死亡的恐怖训练被家庭逼成是一个完全没有感情的杀手，在奇犽从小的观念之内只有不断的杀人。在他12岁那一年，他打伤了母亲及二哥并离家出走，违背杀手家族一家人的期望。,37868,37868,0,351,,https://s4.anilist.co/file/anilistcdn/character/large/b27-Z5O02kQUydpT.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b27-Z5O02kQUydpT.jpg,https://lain.bgm.tv/r/400/pic/crt/l/6e/ae/6550_crt_raIg7.jpg,,,https://anilist.co/character/27,https://bgm.tv/character/6550,,6550
al40,anilist,5,5,,蒙奇·D·路飞,モンキー・D・ルフィ,Luffy Monkey,Mugiwara (麦わら) / Straw Hat / Mugi (麦) / Straw,男,F,17-,动画|漫画,动画,ONE PIECE,航海王,1999,动画,"[{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""动画"",""y"":1999,""pop"":750384},{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""漫画"",""y"":1997,""pop"":232766},{""t"":""ONE PIECE FILM RED"",""cn"":""航海王：红发歌姬"",""ty"":""动画"",""y"":2022,""pop"":78378},{""t"":""ONE PIECE FILM Z"",""cn"":""航海王：Z"",""ty"":""动画"",""y"":2012,""pop"":64412},{""t"":""ONE PIECE STAMPEDE"",""cn"":""航海王：狂热行动"",""ty"":""动画"",""y"":2019,""pop"":62019},{""t"":""ONE PIECE FAN LETTER"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":58152}]",蒙奇·D·路飞是《ONE PIECE》（航海王/海贼王）的主人公，“D”的一族，草帽一伙的船长，也是海贼界十一名超新星之——他的悬赏金排名在十一人当中的第二位。路飞的代表性标志是他的草帽和草鞋，左眼下方的疤痕是幼时为了证明自己的男子气概而用小刀划的。童年因为爷爷斯巴达式的训练，练就了非常顽强的生命力，除了大海之外，几乎在什么环境下都能生存。,36509,36509,0,299,,https://s4.anilist.co/file/anilistcdn/character/large/b40-MNypXsxSRb1R.png,https://s4.anilist.co/file/anilistcdn/character/medium/b40-MNypXsxSRb1R.png,https://lain.bgm.tv/r/400/pic/crt/l/12/c1/2358_crt_3ZoDo.jpg,,,https://anilist.co/character/40,https://bgm.tv/character/2358,,2358
al40882,anilist,3,30,,艾伦·耶格尔,エレン・イェーガー,Eren Yeager,Eren Jaeger / Eren Jäger / Shi ni Isogi Yarou (死に急ぎ野郎) / Suicidal Maniac,男,,15-,动画,动画,進撃の巨人,进击的巨人,2013,动画,"[{""t"":""進撃の巨人"",""cn"":""进击的巨人"",""ty"":""动画"",""y"":2013,""pop"":1053882},{""t"":""進撃の巨人 Season２"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":733402},{""t"":""進撃の巨人 Season３"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":686190},{""t"":""進撃の巨人 The Final Season"",""cn"":""进击的巨人 最终季"",""ty"":""动画"",""y"":2020,""pop"":642537},{""t"":""進撃の巨人 Season３ Part.2"",""cn"":"""",""ty"":""动画"",""y"":2019,""pop"":610781},{""t"":""進撃の巨人 The Final Season Part 2"",""cn"":""进击的巨人 最终季 Part.2"",""ty"":""动画"",""y"":2022,""pop"":440419}]",本作的男主角。15岁（835年生）。拥有强韧的精神力与非凡的行动力，对墙壁外的世界拥有比任何人都要高的憧憬。 故事之初（845年）居住的城镇被未知的“超大型巨人”袭击，“玛利亚之墙”（Wall．Maria）城门遭其脚踢破坏，巨人因而进入第一道城墙区猎食人类，目睹母亲遭巨人吞食后，立誓要消灭所有的巨人。,34963,34963,0,523,,https://s4.anilist.co/file/anilistcdn/character/large/b40882-dsj7IP943WFF.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b40882-dsj7IP943WFF.jpg,https://lain.bgm.tv/r/400/pic/crt/l/e3/2f/18101_crt_343At.jpg?r=1410320023,,,https://anilist.co/character/40882,https://bgm.tv/character/18101,,18101
al71,anilist,10,31,1979,L,エル・ローライト,L Lawliet,Ryuga Hideki / Ryuzaki / Eraldo Coil / Deneuve,男,,24-25,动画|漫画|轻小说,动画,DEATH NOTE,死亡笔记,2006,动画,"[{""t"":""DEATH NOTE"",""cn"":""死亡笔记"",""ty"":""动画"",""y"":2006,""pop"":961191},{""t"":""DEATH NOTE"",""cn"":""死亡笔记"",""ty"":""漫画"",""y"":2003,""pop"":99722},{""t"":""DEATH NOTE リライト"",""cn"":"""",""ty"":""动画"",""y"":2007,""pop"":44227},{""t"":""DEATH NOTE アナザーノート ロサンゼルスBB連続殺人事件"",""cn"":""ANOTHER NOTE 洛杉矶BB连续杀人事件"",""ty"":""轻小说"",""y"":2006,""pop"":8091},{""t"":""L FILE No. 15"",""cn"":"""",""ty"":""漫画"",""y"":2008,""pop"":2341},{""t"":""DEATH NOTEにラクガキ4コマ"",""cn"":"""",""ty"":""漫画"",""y"":2004,""pop"":1347}]","**Height**: 179 cm (5'10"") L Lawliet is a world-renowned detective who takes on the challenge of catching Kira. In his investigation, L becomes suspicious of [Light Yagami](//anilist.co/character/80/Light-Yagami) and makes it his goal to pr…",29289,29289,0,570,,https://s4.anilist.co/file/anilistcdn/character/large/b71-1W4panC53vfs.png,https://s4.anilist.co/file/anilistcdn/character/medium/b71-1W4panC53vfs.png,https://lain.bgm.tv/r/400/pic/crt/l/fc/07/16684_crt_3Vfi9.jpg?r=1720108018,,,https://anilist.co/character/71,https://bgm.tv/character/16684,,16684
al417,anilist,12,5,2000,鲁路修·兰佩路基,ルルーシュ・ランペルージ,Lelouch Lamperouge,Lulu / Zero / King of Elevens / The Demon,男,,17-18,动画,动画,コードギアス 反逆のルルーシュ,Code Geass 反叛的鲁路修,2006,动画,"[{""t"":""コードギアス 反逆のルルーシュ"",""cn"":""Code Geass 反叛的鲁路修"",""ty"":""动画"",""y"":2006,""pop"":500273},{""t"":""コードギアス 反逆のルルーシュ R2"",""cn"":""Code Geass 反叛的鲁路修R2"",""ty"":""动画"",""y"":2008,""pop"":362942},{""t"":""コードギアス 復活のルルーシュ"",""cn"":""Code Geass 复活的鲁路修"",""ty"":""动画"",""y"":2019,""pop"":97127},{""t"":""コードギアス 奪還のロゼ"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":34781},{""t"":""コードギアス 反逆のルルーシュⅠ 興道"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":33081},{""t"":""コードギアス 反逆のルルーシュⅢ 皇道"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":29621}]",鲁路修·兰佩洛基是日本动画《Code Geass 反叛的鲁路修》中的主角。 一年前的东京攻略战中，黑色骑士团因为首领Zero的离开而最终战败。之后一年间，鲁路修的Geass能力被人封印而平静的生活在阿什弗德学园，在第二季开头，鲁路修重新与C.C相遇之后，Geass封印被解开，鲁路修也恢复了记忆。 一年前最后的神根岛之战，鲁路修被朱雀制服，并被押到其父不列颠皇帝面前，被皇帝施以Geass封印一切记忆。,29202,29202,0,1255,,https://s4.anilist.co/file/anilistcdn/character/large/b417-gVLmIJu9phcK.png,https://s4.anilist.co/file/anilistcdn/character/medium/b417-gVLmIJu9phcK.png,https://lain.bgm.tv/r/400/pic/crt/l/7b/3a/1_crt_FEkJM.jpg,,,https://anilist.co/character/417,https://bgm.tv/character/1,,1
al62,anilist,11,11,,罗罗诺亚·索隆,ロロノア・ゾロ,Zoro Roronoa,Zolo / Kaizoku Gari (海賊狩り) / Pirate Hunter / Marimo Head,男,XF,19-,动画|漫画,动画,ONE PIECE,航海王,1999,动画,"[{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""动画"",""y"":1999,""pop"":750384},{""t"":""ONE PIECE"",""cn"":""航海王"",""ty"":""漫画"",""y"":1997,""pop"":232766},{""t"":""ONE PIECE FILM RED"",""cn"":""航海王：红发歌姬"",""ty"":""动画"",""y"":2022,""pop"":78378},{""t"":""ONE PIECE FILM Z"",""cn"":""航海王：Z"",""ty"":""动画"",""y"":2012,""pop"":64412},{""t"":""ONE PIECE STAMPEDE"",""cn"":""航海王：狂热行动"",""ty"":""动画"",""y"":2019,""pop"":62019},{""t"":""ONE PIECE FAN LETTER"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":58152}]",佐罗有着一头绿色短发、左臂绑着深绿色头巾（全力战斗时会把它系在头上）、绿色肚兜和左耳的三只水滴状耳环，自第二部开始左眼多了一条伤痕。其流派是自创的“三刀流”，双手持刀之外，口中再咬着一把刀。目前的佩刀为“和道一文字”、“三代鬼彻”和“秋水”。 他贯彻自己的“武士道”，日复一日坚持严苛的身体训练，这使得肉体极为强韧、筋力控制自如，臂力甚至强劲到能够将斩击“剑波化”。身为武士，佐罗在战斗当中常身先士卒，受伤的频率也最高，有几次甚至承受着足以致人于死的重伤。,29070,29070,0,282,,https://s4.anilist.co/file/anilistcdn/character/large/b62-S7oAeA9WInjV.png,https://s4.anilist.co/file/anilistcdn/character/medium/b62-S7oAeA9WInjV.png,https://lain.bgm.tv/r/400/pic/crt/l/2e/9a/2359_crt_DJdZ1.jpg,,,https://anilist.co/character/62,https://bgm.tv/character/2359,,2359
al40881,anilist,2,10,,三笠·阿克曼,ミカサ・アッカーマン,Mikasa Ackerman,,女,,15-,动画,动画,進撃の巨人,进击的巨人,2013,动画,"[{""t"":""進撃の巨人"",""cn"":""进击的巨人"",""ty"":""动画"",""y"":2013,""pop"":1053882},{""t"":""進撃の巨人 Season２"",""cn"":"""",""ty"":""动画"",""y"":2017,""pop"":733402},{""t"":""進撃の巨人 Season３"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":686190},{""t"":""進撃の巨人 The Final Season"",""cn"":""进击的巨人 最终季"",""ty"":""动画"",""y"":2020,""pop"":642537},{""t"":""進撃の巨人 Season３ Part.2"",""cn"":"""",""ty"":""动画"",""y"":2019,""pop"":610781},{""t"":""進撃の巨人 The Final Season Part 2"",""cn"":""进击的巨人 最终季 Part.2"",""ty"":""动画"",""y"":2022,""pop"":440419}]",本作的女主角。15岁（835年生）。由于身为艾连的青梅竹马之故，两人经常一起行动。沉默寡言、表情稀少的美少女，有腹肌。 第104期训练兵团第1名毕业。拥有优秀的身体能力与战斗技术，一人的表现就足以与100名士兵匹敌。为了和艾连一起行动，希望加入调查兵团。 在9岁时曾被绑匪绑票，双亲亦被绑匪杀害，后来被艾连救出，自此之后便一直寄居在艾连家中，并把艾连视为“最重要的亲人”。 于第21话中最终选择加入调查军团。,28797,28797,0,1016,,https://s4.anilist.co/file/anilistcdn/character/large/b40881-F3gr1PkreDvj.png,https://s4.anilist.co/file/anilistcdn/character/medium/b40881-F3gr1PkreDvj.png,https://lain.bgm.tv/r/400/pic/crt/l/21/40/18102_crt_nVMeD.jpg?r=1700166918,,,https://anilist.co/character/40881,https://bgm.tv/character/18102,,18102
al88572,anilist,9,23,,艾米莉娅,エミリア,Emilia,Satella / Lia / Emilia-tan / Witch of Glaciation,女,,14-19,动画,动画,Re:ゼロから始める異世界生活,Re：从零开始的异世界生活,2016,动画,"[{""t"":""Re:ゼロから始める異世界生活"",""cn"":""Re：从零开始的异世界生活"",""ty"":""动画"",""y"":2016,""pop"":621774},{""t"":""Re:ゼロから始める異世界生活 2nd Season"",""cn"":""Re：从零开始的异世界生活 第二季"",""ty"":""动画"",""y"":2020,""pop"":379615},{""t"":""Re:ゼロから始める異世界生活 2nd Season Part 2"",""cn"":"""",""ty"":""动画"",""y"":2021,""pop"":307396},{""t"":""Re:ゼロから始める異世界生活 3rd season"",""cn"":"""",""ty"":""动画"",""y"":2024,""pop"":195668},{""t"":""Re:ゼロから始める異世界生活 4th season"",""cn"":"""",""ty"":""动画"",""y"":2026,""pop"":139798},{""t"":""Re:ゼロから始める異世界生活 OVAs"",""cn"":"""",""ty"":""动画"",""y"":2018,""pop"":112258}]",拥有与过去毁灭世界的「嫉妒魔女」相同的银发及紫眼，是位美丽的半精灵少女。虽然性格善良热心且很会照顾人，但不知为何本人却不愿坦率承认这一点。 身边总是跟着外形像小猫的精灵帕克。是露格尼卡王国下一任国王的候选人之一。 かつて世界を滅ぼしかけた『嫉妬の魔女』と同じ、銀髪に紫紺の瞳を持つ美しいハーフエルフの少女。お人好しで面倒見の良い性格だが、当人はなぜかそれを素直に認めようとしない。小さな猫の姿をした精霊のパックをお供に連れている。,28790,28790,0,1181,,https://s4.anilist.co/file/anilistcdn/character/large/b88572-IzTwXEHSobRs.jpg,https://s4.anilist.co/file/anilistcdn/character/medium/b88572-IzTwXEHSobRs.jpg,https://lain.bgm.tv/r/400/pic/crt/l/86/d4/35608_crt_nTNp7.jpg?r=1766251180,,,https://anilist.co/character/88572,https://bgm.tv/character/35608,,35608
